"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Chris Sale","Red Sox","17","8","0","32","32","214.1","12.93","1.81","1.01",".301","78.4 %","38.7 %","12.1 %","2.90","2.45","2.65","7.5","10603"
"Corey Kluber","Indians","18","4","0","29","29","203.2","11.71","1.59","0.93",".267","82.6 %","44.5 %","13.5 %","2.25","2.50","2.52","7.3","2429"
"Max Scherzer","Nationals","16","6","0","31","31","200.2","12.02","2.47","0.99",".245","80.7 %","36.5 %","10.8 %","2.51","2.90","3.28","6.3","3137"
"Stephen Strasburg","Nationals","15","4","0","28","28","175.1","10.47","2.41","0.67",".274","77.9 %","46.8 %","8.7 %","2.52","2.72","3.27","5.8","10131"
"Luis Severino","Yankees","14","6","0","31","31","193.1","10.71","2.37","0.98",".272","75.5 %","50.6 %","14.0 %","2.98","3.07","3.04","5.7","15890"
"Carlos Carrasco","Indians","18","6","0","32","32","200.0","10.17","2.07","0.95",".307","78.2 %","45.2 %","12.4 %","3.29","3.10","3.24","5.4","6632"
"Jimmy Nelson","Brewers","12","6","0","29","29","175.1","10.21","2.46","0.82",".340","74.4 %","50.3 %","12.6 %","3.49","3.05","3.15","4.8","10547"
"Zack Greinke","Diamondbacks","17","7","0","32","32","202.1","9.56","2.00","1.11",".285","75.3 %","46.8 %","13.4 %","3.20","3.31","3.34","4.7","1943"
"Aaron Nola","Phillies","12","11","0","27","27","168.0","9.86","2.63","0.96",".309","76.8 %","49.8 %","12.7 %","3.54","3.27","3.38","4.6","16149"
"James Paxton","Mariners","12","5","0","24","24","136.0","10.32","2.45","0.60",".300","75.5 %","44.9 %","7.8 %","2.98","2.61","3.25","4.6","11828"
"Chris Archer","Rays","10","12","0","34","34","201.0","11.15","2.69","1.21",".325","71.3 %","42.0 %","14.1 %","4.07","3.40","3.35","4.5","6345"
"Clayton Kershaw","Dodgers","18","4","0","27","27","175.0","10.39","1.54","1.18",".267","87.4 %","47.9 %","15.9 %","2.31","3.07","2.84","4.3","2036"
"Jacob deGrom","Mets","15","10","0","31","31","201.1","10.68","2.64","1.25",".305","76.3 %","45.3 %","16.1 %","3.53","3.50","3.23","4.1","10954"
"Jeff Samardzija","Giants","9","15","0","32","32","207.2","8.88","1.39","1.30",".303","67.5 %","41.5 %","13.8 %","4.42","3.61","3.60","3.8","3254"
"Michael Fulmer","Tigers","10","12","0","25","25","164.2","6.23","2.19","0.71",".273","65.6 %","49.2 %","8.8 %","3.83","3.67","4.24","3.7","13218"
"Gio Gonzalez","Nationals","15","9","0","32","32","201.0","8.42","3.54","0.94",".258","81.6 %","45.8 %","11.1 %","2.96","3.93","4.24","3.7","7448"
"Danny Duffy","Royals","9","10","0","24","24","146.1","8.00","2.52","0.80",".309","71.3 %","39.5 %","7.6 %","3.81","3.46","4.39","3.7","3542"
"Jon Gray","Rockies","10","4","0","20","20","110.1","9.14","2.45","0.82",".336","74.8 %","48.9 %","11.1 %","3.67","3.18","3.45","3.5","14916"
"Zack Godley","Diamondbacks","8","9","0","25","25","153.1","9.57","3.11","0.88",".282","75.2 %","55.2 %","14.9 %","3.40","3.44","3.34","3.3","14862"
"Robbie Ray","Diamondbacks","15","5","0","28","28","162.0","12.11","3.94","1.28",".267","84.5 %","40.3 %","15.6 %","2.89","3.72","3.49","3.2","11486"
"Justin Verlander","Tigers","10","8","0","28","28","172.0","9.21","3.51","1.20",".283","77.0 %","33.6 %","11.4 %","3.82","4.07","4.41","3.2","8700"
"Marcus Stroman","Blue Jays","13","9","0","33","33","201.0","7.34","2.78","0.94",".310","78.1 %","62.1 %","17.8 %","3.09","3.90","3.58","3.2","13431"
"Gerrit Cole","Pirates","12","12","0","33","33","203.0","8.69","2.44","1.37",".298","74.6 %","45.8 %","15.9 %","4.26","4.08","3.81","3.2","13125"
"Carlos Martinez","Cardinals","12","11","0","32","32","205.0","9.53","3.12","1.19",".284","74.9 %","51.3 %","16.4 %","3.64","3.91","3.63","3.2","11682"
"Chase Anderson","Brewers","12","4","0","25","25","141.1","8.47","2.61","0.89",".265","80.6 %","39.2 %","8.6 %","2.74","3.58","4.33","3.2","6895"
"Charlie Morton","Astros","14","7","0","25","25","146.2","10.00","3.07","0.86",".294","73.0 %","51.8 %","12.5 %","3.62","3.46","3.58","3.1","4676"
"Michael Wacha","Cardinals","12","9","0","30","30","165.2","8.58","2.99","0.92",".327","71.5 %","48.0 %","11.6 %","4.13","3.63","3.88","3.1","14078"
"Jameson Taillon","Pirates","8","7","0","25","25","133.2","8.42","3.10","0.74",".352","71.3 %","47.3 %","9.9 %","4.44","3.48","3.89","3.1","11674"
"Patrick Corbin","Diamondbacks","14","13","0","32","32","187.0","8.47","2.84","1.25",".327","73.8 %","50.5 %","15.4 %","4.09","4.08","3.88","3.0","9323"
"Brad Peacock","Astros","10","2","0","21","21","111.2","10.88","3.71","0.73",".298","76.6 %","43.7 %","8.8 %","3.22","3.08","3.65","2.9","5401"
"Alex Wood","Dodgers","15","3","0","25","25","147.0","9.00","2.27","0.92",".277","80.0 %","52.4 %","13.9 %","2.82","3.36","3.34","2.9","13781"
"Ervin Santana","Twins","16","8","0","33","33","211.1","7.11","2.60","1.32",".245","79.5 %","41.2 %","11.8 %","3.28","4.46","4.77","2.9","3200"
"Drew Pomeranz","Red Sox","17","6","0","32","32","173.2","9.02","3.58","0.98",".310","80.0 %","43.2 %","11.2 %","3.32","3.84","4.15","2.9","11426"
"Jon Lester","Cubs","13","8","0","32","32","180.2","8.97","2.99","1.30",".310","68.7 %","46.2 %","15.8 %","4.33","4.10","3.85","2.9","4930"
